dataset,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,min,max,mean,median,std,auroc,f1,nll,time
ACSF1,0.92000000,0.85000000,0.89000000,0.89000000,0.83000000,0.84000000,0.83000000,0.89000000,0.86000000,0.87000000,0.88000000,0.83000000,0.89000000,0.87000000,0.86000000,0.83000000,0.82000000,0.84000000,0.85000000,0.82000000,0.87000000,0.87000000,0.87000000,0.91000000,0.87000000,0.84000000,0.92000000,0.81000000,0.79000000,0.83000000,0.79000000,0.92000000,0.85800000,0.86000000,0.03197916,0.98304074,0.85582327,1.34018395,7.75463291
Adiac,0.84654731,0.87212276,0.84398977,0.85677749,0.86445013,0.85933504,0.84910486,0.83120205,0.85933504,0.85166240,0.86700767,0.85933504,0.84143223,0.85933504,0.87468031,0.83631714,0.85421995,0.87723785,0.85933504,0.86956522,0.85677749,0.87212276,0.83887468,0.83631714,0.83120205,0.86700767,0.89769821,0.86700767,0.86189258,0.88746803,0.83120205,0.89769821,0.85831202,0.85933504,0.01571867,0.99118628,0.85115037,2.51626346,12.95784505
ArrowHead,0.85714286,0.88000000,0.87428571,0.92000000,0.90857143,0.89714286,0.89714286,0.90857143,0.92000000,0.80571429,0.89714286,0.90285714,0.88000000,0.86857143,0.89142857,0.93142857,0.89714286,0.91428571,0.90285714,0.87428571,0.83428571,0.90857143,0.89142857,0.88571429,0.93714286,0.88571429,0.86285714,0.91428571,0.86857143,0.86857143,0.80571429,0.93714286,0.88952381,0.89428571,0.02745766,0.95661575,0.88790084,0.55753968,2.70644147
BME,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.97333333,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.97333333,1.00000000,0.99911111,1.00000000,0.00478681,1.00000000,0.99910969,0.33589455,5.76939941
Beef,0.83333333,0.80000000,0.76666667,0.86666667,0.83333333,0.86666667,0.86666667,0.86666667,0.80000000,0.90000000,0.86666667,0.80000000,0.76666667,0.86666667,0.86666667,0.83333333,0.70000000,0.76666667,0.70000000,0.70000000,0.83333333,0.80000000,0.80000000,0.73333333,0.93333333,0.56666667,0.83333333,0.86666667,0.80000000,0.80000000,0.56666667,0.93333333,0.80777778,0.81666667,0.07286890,0.95953704,0.80577513,0.96505721,6.64029487
BeetleFly,0.95000000,1.00000000,0.95000000,0.95000000,0.95000000,1.00000000,1.00000000,0.95000000,1.00000000,0.95000000,0.95000000,0.95000000,0.80000000,0.95000000,0.85000000,0.95000000,0.95000000,0.90000000,0.90000000,0.90000000,0.80000000,0.80000000,0.85000000,1.00000000,0.95000000,0.90000000,1.00000000,0.90000000,0.95000000,0.95000000,0.80000000,1.00000000,0.93000000,0.95000000,0.05859465,0.99000000,0.93072153,0.42709872,3.48252334
BirdChicken,0.90000000,1.00000000,1.00000000,0.95000000,0.90000000,1.00000000,0.90000000,0.95000000,0.85000000,0.95000000,0.90000000,1.00000000,0.95000000,1.00000000,1.00000000,0.85000000,0.95000000,0.95000000,1.00000000,1.00000000,1.00000000,1.00000000,0.90000000,0.95000000,1.00000000,0.95000000,1.00000000,1.00000000,0.95000000,0.95000000,0.85000000,1.00000000,0.95666667,0.95000000,0.04606758,0.99933333,0.96027982,0.39350855,1.41981732
CBF,0.99888889,0.99444444,0.99777778,1.00000000,0.99888889,0.99777778,0.99888889,0.99555556,0.99888889,1.00000000,0.99555556,0.99888889,1.00000000,0.99888889,0.98000000,0.99888889,0.99888889,0.99777778,1.00000000,0.99888889,1.00000000,1.00000000,0.99888889,1.00000000,0.99888889,0.99666667,0.99888889,0.99555556,1.00000000,0.99888889,0.98000000,1.00000000,0.99788889,0.99888889,0.00364415,0.99996506,0.99788447,0.38032629,3.49858231
Car,0.93333333,0.93333333,0.96666667,0.93333333,0.91666667,0.91666667,0.96666667,0.96666667,1.00000000,0.95000000,0.96666667,0.98333333,0.93333333,0.95000000,0.96666667,0.90000000,0.95000000,0.91666667,0.96666667,0.93333333,0.91666667,0.91666667,0.91666667,0.93333333,0.91666667,0.91666667,0.95000000,0.91666667,0.93333333,0.96666667,0.90000000,1.00000000,0.94111111,0.93333333,0.02424158,0.98845053,0.94142508,0.61653608,6.43614725
Chinatown,0.98542274,0.96209913,0.96793003,0.97084548,0.96793003,0.97667638,0.97667638,0.96209913,0.97376093,0.97084548,0.96501458,0.96793003,0.96209913,0.97667638,0.97959184,0.96793003,0.96501458,0.96793003,0.96209913,0.97376093,0.97084548,0.98250729,0.97376093,0.97667638,0.96793003,0.95918367,0.97084548,0.97084548,0.96501458,0.97084548,0.95918367,0.98542274,0.97035957,0.97084548,0.00625672,0.99150985,0.97896829,0.38585173,1.53350026
