dataset,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,min,max,mean,median,std,auroc,f1,nll,time
ACSF1,0.91000000,0.84000000,0.89000000,0.89000000,0.84000000,0.84000000,0.85000000,0.89000000,0.85000000,0.87000000,0.88000000,0.84000000,0.85000000,0.89000000,0.87000000,0.84000000,0.81000000,0.84000000,0.85000000,0.82000000,0.90000000,0.87000000,0.87000000,0.92000000,0.88000000,0.86000000,0.91000000,0.82000000,0.82000000,0.85000000,0.81000000,0.92000000,0.86200000,0.85500000,0.02891366,0.98333333,0.85991726,1.34692873,36.84815853
Adiac,0.84143223,0.87979540,0.83887468,0.86700767,0.87468031,0.87212276,0.85677749,0.83631714,0.84910486,0.87212276,0.86700767,0.85166240,0.84143223,0.86956522,0.87979540,0.85421995,0.86445013,0.89002558,0.85933504,0.86445013,0.84654731,0.86189258,0.83631714,0.84910486,0.85933504,0.86700767,0.90025575,0.87468031,0.86189258,0.89002558,0.83631714,0.90025575,0.86257460,0.86317136,0.01613394,0.99207812,0.85607755,2.50332199,38.72866960
ArrowHead,0.84571429,0.88571429,0.86857143,0.92000000,0.91428571,0.89714286,0.89714286,0.90857143,0.92000000,0.80000000,0.89714286,0.90285714,0.88000000,0.89714286,0.88000000,0.92571429,0.88571429,0.90285714,0.91428571,0.88000000,0.82285714,0.92000000,0.89714286,0.90285714,0.92571429,0.88000000,0.85714286,0.92000000,0.88000000,0.86857143,0.80000000,0.92571429,0.88990476,0.89714286,0.02917210,0.95825087,0.88839721,0.55476070,6.71387895
Beef,0.83333333,0.80000000,0.73333333,0.83333333,0.83333333,0.83333333,0.83333333,0.86666667,0.83333333,0.90000000,0.80000000,0.76666667,0.70000000,0.86666667,0.86666667,0.83333333,0.70000000,0.73333333,0.66666667,0.76666667,0.80000000,0.76666667,0.80000000,0.70000000,0.93333333,0.53333333,0.83333333,0.83333333,0.80000000,0.80000000,0.53333333,0.93333333,0.79333333,0.80000000,0.07765069,0.95847222,0.79173076,0.96979689,15.68793519
BeetleFly,0.95000000,1.00000000,0.95000000,0.95000000,0.95000000,1.00000000,1.00000000,0.95000000,1.00000000,0.95000000,0.95000000,0.95000000,0.75000000,0.90000000,0.85000000,0.95000000,0.95000000,0.90000000,0.90000000,0.90000000,0.75000000,0.75000000,0.85000000,1.00000000,0.95000000,0.90000000,1.00000000,0.90000000,1.00000000,0.95000000,0.75000000,1.00000000,0.92500000,0.95000000,0.07158911,0.98633333,0.92695152,0.43262018,9.69899390
BirdChicken,0.90000000,1.00000000,1.00000000,0.90000000,0.90000000,1.00000000,0.90000000,0.95000000,0.85000000,0.95000000,0.95000000,1.00000000,1.00000000,1.00000000,1.00000000,0.85000000,1.00000000,0.95000000,1.00000000,1.00000000,1.00000000,1.00000000,0.90000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.95000000,1.00000000,0.85000000,1.00000000,0.96500000,1.00000000,0.04856267,0.99866667,0.96821632,0.39356294,3.65792305
BME,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99333333,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99333333,1.00000000,0.99977778,1.00000000,0.00119670,1.00000000,0.99977776,0.33197734,11.46111079
Car,0.91666667,0.91666667,0.96666667,0.93333333,0.91666667,0.90000000,0.96666667,0.95000000,0.98333333,0.95000000,0.96666667,0.96666667,0.93333333,0.93333333,0.98333333,0.90000000,0.96666667,0.90000000,0.96666667,0.93333333,0.93333333,0.91666667,0.93333333,0.90000000,0.90000000,0.95000000,0.95000000,0.90000000,0.91666667,0.95000000,0.90000000,0.98333333,0.93666667,0.93333333,0.02631715,0.98709402,0.93681885,0.62474850,16.33301892
CBF,0.99888889,0.99222222,0.99666667,1.00000000,0.99888889,0.99888889,1.00000000,0.99111111,0.99222222,0.99000000,0.98888889,0.99222222,0.99888889,0.99000000,0.97666667,0.99888889,0.99888889,0.99777778,1.00000000,0.99666667,1.00000000,1.00000000,1.00000000,0.99888889,0.99888889,0.99222222,0.99888889,0.99444444,0.99777778,0.99777778,0.97666667,1.00000000,0.99588889,0.99833333,0.00503608,0.99988154,0.99588048,0.39400831,9.45253446
Chinatown,0.98250729,0.96793003,0.96793003,0.97084548,0.97376093,0.97667638,0.97084548,0.96209913,0.97084548,0.96793003,0.96501458,0.96793003,0.96501458,0.97667638,0.97959184,0.96793003,0.96501458,0.97084548,0.96209913,0.97667638,0.97376093,0.97959184,0.97667638,0.97959184,0.97084548,0.95626822,0.97376093,0.97084548,0.97667638,0.97667638,0.95626822,0.98250729,0.97142857,0.97084548,0.00604092,0.99182649,0.97974730,0.38405054,2.84742598
